অভ্যর্থনাকারী	obhyorthonakari	ovvorthonakari	obhyarthonakari	obhyortho-nakari	obhyarthanakari
প্রাতিষ্ঠানিকীকরণ	pratishthanikikoron	pratisthanikikaran	pratishthaniki-koron	pratisthanikikaran	pratishthanikikoron
প্রাপ্তবয়স্কতা	praptoboyoshkota	praptabayaskata	prapto-boyoshko-ta	praptabayaskata	praptoboyoshkota
প্রিয়জনবিয়োগ	priyojonbiyog	priyajanabiyog	priyojon-biyog	priyajanabiyog	priyojonbiyog
ফলপ্রসূভাবেই	folproshuvabei	phalaprasubhabeyi	folproshu-vabei	phalaprasubhabeyi	folproshuvabei
ফেরতযোগ্যতা	ferotjoggotā	pheratayoggyata	ferot-joggotā	pheratayoggyata	ferotjoggotā
ফৌজদারিবিধি	foujdaribidhi	phaujdaaribidha	foujdari-bidhi	phaujdaaribidha	foujdaribidhi
বক্তব্যউপস্থাপন	boktobbouposthapon	baktabyaupasthapan	boktobbo-uposthapon	baktabyaupasthapan	boktobbouposthapon
বন্যানিয়ন্ত্রণ	bonnaniyontron	banyaniyantran	bonna-niyontron	banyaniyantran	bonnaniyontron
বরাদ্দযোগ্যতা	boraddojoggotā	baraddayoggyata	boraddo-joggotā	baraddayoggyata	boraddojoggotā
বহুমাত্রিকতা	bohumatrikota	bahumatrikata	bohu-matriko-ta	bahumatrikata	bohumatrikota
বহুভাষিকতা	bohubhashikota	bahubhashikata	bohu-bhashiko-ta	bahubhashikata	bohubhashikota
বহির্বিশ্বসংক্রান্ত	bohirbishshoshongkranto	bahirvishwasamkranta	bohir-bishsho-shongkranto	bahirvishwasamkranta	bohirbishshoshongkranto
বহিষ্কারযোগ্য	bohishkarjoggo	bahishkarayogya	bohishkar-joggo	bahishkarayogya	bohishkarjoggo
বাধ্যবাধকতামূলক	baddhobadhokotamulok	badhyabadhakatamulaka	baddho-badhokota-mulok	badhyabadhakatamulaka	baddhobadhokotamulok
বাণিজ্যিকীকরণ	banijjikikoron	banijyikikaran	banijjiki-koron	banijyikikaran	banijjikikoron
বার্ষিকীউদযাপন	barshikiudjapon	barshikiudjapan	barshiki-udjapon	barshikiudjapan	barshikiudjapon
বিকল্পব্যবস্থা	bikalpobebostha	bikalpabyabastha	bikalpo-bebostha	bikalpabyabastha	bikalpobebostha
বিকেন্দ্রীভূত	bikendribhuto	bikendribhuta	bikendri-bhuto	bikendribhuta	bikendribhuto
বিচারবিভাগীয়	bicharbibhagiyo	bicharabibhagiya	bichar-bibhagiyo	bicharabibhagiya	bicharbibhagiyo
বিচ্ছিন্নীকরণ	bichchhinnikoron	bichchhinnikaran	bichchhinni-koron	bichchhinnikaran	bichchhinnikoron
বিধিবদ্ধনিয়ম	bidhiboddhoniom	bidhibaddhaniyam	bidhi-boddho-niom	bidhibaddhaniyam	bidhiboddhoniom
বিনিয়োগকারীগণ	biniyogkarigon	biniyogakarigan	biniyog-kari-gon	biniyogakarigan	biniyogkarigon
বিপজ্জনকভাবে	bipodjonokvabe	bipajjanakabhabe	bipod-jonoko-vabe	bipajjanakabhabe	bipodjonokvabe
বিভাগীয়করণ	bibhagiyokoron	bibhagiyakaran	bibhagiyo-koron	bibhagiyakaran	bibhagiyokoron
বিমূর্তচিন্তাধারা	bimurtachintadhara	bimurtachintadhara	bimurto-chinta-dhara	bimurtachintadhara	bimurtachintadhara
বিলুপ্তপ্রায়তা	biluptoprayota	biluptaprayata	bilupto-prayo-ta	biluptaprayata	biluptoprayota
বিষয়বস্তুনির্ভর	bishoybostunirvor	bishayabastunirbhar	bishoybostu-nirvor	bishayabastunirbhar	bishoybostunirvor
বিস্তারিতবিশ্লেষণ	bistaritobishleshon	bistaritavishleshan	bistarito-bishleshon	bistaritavishleshan	bistaritobishleshon
বৃক্ষনিধনপ্রবণতা	brikkhonidhonprobOnota	vrikshanidhanaprabonata	brikkho-nidhon-probonota	vrikshanidhanaprabonata	brikkhonidhonprobOnota
বৈদেশিকবিনিয়োগ	boideshikbiniyog	baideshikabiniyog	boideshik-biniyog	baideshikabiniyog	boideshikbiniyog
বৈপরীত্যপূর্ণ	boiporittypurno	vaiparityapurna	boiporittyo-purno	vaiparityapurna	boiporittypurno
ব্যতিক্রমীধরনের	betikromidhoroner	byatikramidharaner	betikromi-dhoroner	byatikramidharanera	betikromidhoroner
ব্যবহারবিধিসমূহ	beboharbidhishomuho	byabaharabidhisamuha	bebohar-bidhi-shomuho	byabaharabidhisamuha	beboharbidhishomuho
ব্যবসায়প্রতিষ্ঠান	beboshayprotishthan	byabasayapratishthan	beboshay-protishthan	byabasayapratishthan	beboshayprotishthan
ব্যাপকভিত্তিক	byapokobhittik	byapakabhittika	byapoko-bhittik	byapakabhittika	byapokobhittik
ব্যাখ্যামূলকভাবে	byakkhamulokvabe	byakhyamulakabhabe	byakkha-muloko-vabe	byakhyamulakabhabe	byakkhamulokvabe
ভবিষ্যৎপ্রজন্ম	bhobishshotprojonmo	bhavishyatprajanma	bhobishshot-projonmo	bhavishyatprajanma	bhobishshotprojonmo
ভৌগোলিকঅবস্থান	bhougolicobosthan	bhaugolikabasthan	bhougolic-obosthan	bhaugolikabasthan	bhougolicobosthan
ভ্রাম্যমাণগ্রন্থাগার	bhramymanogronthagar	bhramyamanagranthagar	bhramymano-gronthagar	bhramyamanagranthagar	bhramymanogronthagar
মতবিরোধনিরসন	motbirodhniroshon	matabirodhanirasan	mot-birodh-niroshon	matabirodhanirasana	motbirodhniroshon
মধ্যবিত্তপরিবার	moddhyobittoporibar	madhyabittaparibar	moddho-bitto-poribar	madhyabittaparibar	moddhyobittoporibar
মধ্যস্থতাপ্রক্রিয়া	moddhosthotaprokriya	madhyasthataprakriya	moddhosthota-prokriya	madhyasthataprakriya	moddhosthotaprokriya
মানবাধিকারভিত্তিক	manobadhikarbhittik	manabadhikarabhittik	manobadhikar-bhittik	manabadhikarabhittik	manobadhikarbhittik
মানসিকস্বাস্থ্যসেবা	manoshikshasthoseba	manasikaswasthyaseba	manoshik-shasthyo-seba	manasikaswasthyaseba	manoshikshasthoseba
মারাত্মকক্ষতিকর	marattokkhhotikor	maratmakakshatikara	marattok-khhoti-kor	maratmakakshatikara	marattokkhhotikor
মুদ্রাস্ফীতিজনিত	mudrashphitijonito	mudrasphitijanita	mudrashphiti-jonito	mudrasphitijanita	mudrashphitijonito
মেধাস্বত্বসংরক্ষণ	medhashottoshongrokkhon	medhaswatwasangrakshan	medhashotto-shongrokkhon	medhaswatwasangrakshan	medhashottoshongrokkhon
মৌলিকঅধিকার	moulikodhikar	maulikadhikar	moulik-odhikar	maulikadhikara	moulikodhikar
যথাযথব্যবস্থা	jothajothobebostha	yathayathabyabastha	jothajotho-bebostha	yathayathabyabastha	jothajothobebostha
যান্ত্রিকত্রুটি	jantriktruti	yantrikatruti	jantrik-truti	yantrikatruti	jantriktruti
যুগোপযোগীকরণ	jugopojogikoron	jugopayogikaran	jugopojogi-koron	jugopayogikaran	jugopojogikoron
যৌক্তিকব্যাখ্যা	jouktikobyakkha	yauktikabyakhya	jouktiko-byakkha	yauktikabyakhya	jouktikobyakkha
রক্ষণাবেক্ষণকারী	rokkhonabekkhonkari	rakshanabekshanakari	rokkhona-bekkhon-kari	rakshanabekshanakari	rokkhonabekkhonkari
রাষ্ট্রীয়পর্যায়ে	rashtriyoporjaye	rashtriyaparyaye	rashtriyo-porjaye	rashtriyaparyaye	rashtriyoporjaye
রিকশাচালকসমিতি	rikshachalokshomiti	rikshachalakasamiti	riksha-chalok-shomiti	rikshachalakasmitee	rikshachalokshomiti
রূপান্তরপ্রক্রিয়া	rupantorprokriya	rupantaraprakriya	rupan-tor-prokriya	rupantaraprakriya	rupantorprokriya
লক্ষ্যনির্ভরশিক্ষা	lokkhonirvorshikkha	lakshyanirbharashiksha	lokkho-nirvor-shikkha	lakshyanirbharashiksha	lokkhonirvorshikkha
লিঙ্গবৈষম্যবিরোধী	linggoboishommyobirodhi	linggavaishamyabirodhi	linggo-boishommo-birodhi	linggavaishamyabirodhi	linggoboishommyobirodhi
লুপ্তপ্রায়প্রজাতি	luptoprayoprojati	luptaprayaprajati	lupto-prayo-projati	luptaprayaprajati	luptoprayoprojati
শক্তিবর্ধকখাদ্য	shoktibordhokkhaddo	shaktivardhakakhadya	shokti-bordhok-khaddo	shaktivardhakakhadya	shoktibordhokkhaddo
শরণার্থীশিবির	shoronarthishibir	sharanarthishibir	shoronarthi-shibir	sharanarthishibir	shoronarthishibir
শর্তসাপেক্ষঅনুমতি	shortoshapekkhonumoti	shartasapekshaanumati	shorto-shapekkho-onumoti	shartasapekshaanumati	shortoshapekkhonumoti
শারীরবৃত্তীয়	sharirbrittiyo	shariravrittiya	sharir-brittiyo	shariravrittiya	sharirbrittiyo
শিক্ষাবৃত্তিপ্রাপ্ত	shikkhabrittiprapto	shikshavrittiprapta	shikkha-britti-prapto	shikshavrittiprapta	shikkhabrittiprapto
শিল্পকারখানাভিত্তিক	shilpokarkhanabhittik	shilpakarkhanabhittik	shilpo-karkhana-bhittik	shilpakarkhanabhittik	shilpokarkhanabhittik
শৃঙ্খলাভঙ্গকারী	shrinkholabhonggokari	shrinkhalabhangakari	shrinkhola-bhonggo-kari	shrinkhalabhangakari	shrinkholabhonggokari
শ্রদ্ধাঞ্জলিসভা	shraddhanjolishobha	shraddhanjalisabha	shraddhanjoli-shobha	shraddhanjalisabha	shraddhanjolishobha
শ্রেণিকক্ষভিত্তিক	shrenikokkhobhittik	shrenikakshabhittik	shreni-kokkho-bhittik	shrenikakshabhittik	shrenikokkhobhittik
ষড়যন্ত্রমূলক	shorojontromulok	shadayantramulaka	shoro-jontro-mulok	shadayantramulaka	shorojontromulok
সংকটমোকাবিলায়	shongkotmokabilay	sankatamokabilay	shongkot-mokabilay	sankatamokabilay	shongkotmokabilay
সংগঠনবিরোধী	shonggothonbirodhi	sangathanabirodhi	shonggothon-birodhi	sangathanabirodhi	shonggothonbirodhi
সংবিধানপ্রণেতা	shongbidhanproneta	sambidhanapraneta	shongbidhan-proneta	sambidhanapraneta	shongbidhanproneta
সংশোধনীপ্রস্তাব	shongshodhoniprostoB	sanshodhaniprastab	shongshodhoni-prostab	sanshodhaniprastab	shongshodhoniprostoB
সন্তোষজনকভাবে	shontoshjonokvabe	santoshajanakabhabe	shontosho-jonoko-vabe	santoshajanakabhabe	shontoshjonokvabe
সম্পত্তিবণ্টনকারী	shompottibonton kari	sampattibantanakari	shompotti-bonton-kari	sampattibantanakari	shompottibontonkari
সম্পূর্ণনিরাপদ	shompurnonirapod	sampurnanirapada	shompurno-nirapod	sampurnanirapada	shompurnonirapod
সম্মতিপ্রদানকারী	shommotiprodankari	sammatipradanakari	shommoti-prodan-kari	sammatipradanakari	shommotiprodankari
সম্মাননাপ্রাপ্ত	shommanonaprapto	sammananaprapta	shommanona-prapto	sammananaprapta	shommanonaprapto
সম্মিলনস্থল	shommilonsthol	sammilanastala	shommilon-sthol	sammilanastala	shommilonsthol
সম্ভাব্যক্ষয়ক্ষতি	shombhabbyokhhoykhoti	sambhavyakshayakshati	shombhabbo-khhoy-khoti	sambhavyakshayakshati	shombhabbyokhhoykhoti
সমুদ্রপৃষ্ঠউচ্চতা	shomudropishtoucchota	samudrapristhauchchata	shomudro-prishtho-ucchota	samudrapristhauchchata	shomudropishtoucchota
সর্বজনগ্রাহ্যতা	shorbojongrahyota	sarbajanagrahyata	shorbojon-grahyota	sarbajanagrahyata	shorbojongrahyota
সর্বাধিকসংখ্যক	shorbadhikshongkhok	sarbadhikasankhyaka	shorbadhik-shongkhok	sarbadhikasankhyaka	shorbadhikshongkhok
সামগ্রিকপরিকল্পনা	shamoggrikoporikolpona	samagrikaparikalpana	shamoggriko-porikolpona	samagrikaparikalpana	shamoggrikoporikolpona
সাংবাদিকসম্মেলন	shangbadikshommeloN	sangbadikasammelan	shangbadik-shommeloN	sangbadikasammelan	shangbadikshommeloN
সাক্ষরজ্ঞানসম্পন্ন	shakkhorggyanshompanno	saksharajnyanasampanna	shakkhor-ggyan-shompanno	saksharajnyanasampanna	shakkhorggyanshompanno
সাধারণীকরণপ্রক্রিয়া	shadharonikoronprokriya	sadharanikaranaprakriya	shadharonikoroN-prokriya	sadharanikaranaprakriya	shadharonikoronprokriya
সাম্প্রতিকপরিস্থিতি	shamprotikoporishthiti	sampratikaparishthiti	shamprotiko-porishthiti	sampratikaparishthiti	shamprotikoporishthiti
সার্বজনীনগ্রহণযোগ্যতা	sharbajoningrohonjoggotā	sarbajaniNagrahanayoggyata	sharbajonin-grohon-joggotā	sarbajaniNagrahanayoggyata	sharbajoningrohonjoggotā
সীমান্তরক্ষীবাহিনী	simantorokkhhibahini	simantarakshibahini	simanto-rokkhhi-bahini	simantarakshibahini	simantorokkhhibahini
সুপরিকল্পিতভাবে	suPorikolpitovabe	suparikalpitabhabe	suporikolpito-vabe	suparikalpitabhabe	suporikolpitovabe
সুস্বাস্থ্যেরজন্য	shushasthyerjonno	suswasthyerjanya	suswasthyer-jonno	suswasthyerjanya	shushasthyerjonno
স্থাপত্যনিদর্শন	sthapottyonidorshon	sthapatyanidarshan	sthapottyo-nidorshon	sthapatyanidarshan	sthapottyonidorshon
স্থায়ীকমিটিসমূহ	sthayikomitishomuho	sthayikamitIsamuha	sthayi-komiti-shomuho	sthayikamitIsamuha	sthayikomitishomuho
স্পর্শকাতরতাজনিত	sporshokatorotajonito	sparshakataratajanita	sporsho-katorota-jonito	sparshakataratajanita	sporshokatorotajonito
স্মৃতিসৌধপ্রাঙ্গণ	smritisoudhopranggon	smritisoudhaprangan	smriti-soudho-pranggon	smritisoudhaprangan	smritisoudhopranggon
স্বচ্ছতানিশ্চিতকরণ	swocchhotanishchitokoron	swachchhatanishchitikaran	swocchhota-nishchito-koron	swachchhatanishchitikaran	swocchhotanishchitokoron
স্বনির্ভরতামূলক	swonirvortamulok	swanirbharatamulaka	swonirvorota-mulok	swanirbharatamulaka	swonirvortamulok
স্বল্পমেয়াদিভিত্তিক	sholpomeyadibhittik	swalpameyadibhittik	sholpo-meyadi-bhittik	swalpameyadibhittik	sholpomeyadibhittik
স্বাস্থ্যঝুঁকিপূর্ণ	shasthyojhukipurno	swasthyajhukipurna	shasthyo-jhuki-purno	swasthyajhukipurna	shasthyojhukipurno
হস্তাক্ষরবিশ্লেষণ	hostakkhorbishleshon	hastaksharavishleshan	hostakkhor-bishleshon	hastaksharavishleshan	hostakkhorbishleshon
হৃদরোগপ্রতিরোধ	hridrogprotirodh	hridrogapratirodh	hridrog-protirodh	hridrogapratirodha	hridrogprotirodh
হ্রাসবৃদ্ধিপ্রবণতা	hrashbriddhiprobOnota	hrasavriddhiprabonata	hrash-briddhi-probonota	hrasavriddhiprabonata	hrashbriddhiprobOnota
অধিকারসংক্রান্ত	odhikarshongkranto	odhikarsongkranto	odhikar-shongkranto	adhikarsamkranta	odhikarshongkranto
অধিষ্ঠানযোগ্য	odhishthanjoggo	odhisthanjoggo	odhishthan-joggo	adhishthanayogya	odhishthanjoggo
অধোগতিশীল	odhogotishil	adhogatishil	odhogo-ti-shil	adhogatishil	odhogotishil
অধ্যবসায়ী	oddhyoboshayi	odhyoboshayi	oddhyo-boshayi	adhyabasayi	oddhyoboshayee
অধ্যয়নরত	oddhoyonroto	odhyayonroto	oddhoyon-roto	adhyayanarata	oddhoyonroto
অধ্যাত্মবাদী	oddhattobadi	odhyatmabadi	oddhatto-badi	adhyatmabadi	oddhattobadi
অধ্যাপকবৃন্দ	oddhyapokbrindo	odhyapakbrindo	oddhyapok-brindo	adhyapakabrinda	oddhyapokbrindo
অনধিকারচর্চা	onodhikarchorcha	anadhikarcharcha	onodhikar-chorcha	anadhikaracharcha	onodhikarchorcha
অনিবার্যতা	onibarjota	anibaryata	onibarjo-ta	anibaryata	onibarjota
অনির্বচনীয়	onirbochoniyo	anirbachaniya	onirbochoniyo	anirbachaniya	onirbochoniyo
অনির্দিষ্টকাল	onirdishtokal	anirdishtokal	onirdishto-kal	anirdishtakala	onirdishtokal
অনুপ্রবেশকারী	onuprobeshkari	anuprabeshakari	onuprobesh-kari	anuprabeshakari	onuprobeshkari
অনুপ্রেরণাদায়ক	onupreRonadayok	anupreranadayak	onupreRona-dayok	anupreranadayaka	onupreRonadayok
অনুপস্থিতজনিত	onuposthitijonito	anupasthitijanita	onuposthiti-jonito	anupasthitijanita	onuposthitijonito
অনুর্বরভূমি	onurborbhumi	anurbarabhumi	onurbor-bhumi	anurbarabhumi	onurborbhumi
অনুশাসনমূলক	onushashonmulok	anushasanamulaka	onushashon-mulok	anushasanamulaka	onushashonmulok
অনৈক্যপ্রবণতা	onoikkoprobOnota	anaikyaprabonata	onoikko-probonota	anaikyaprabonata	onoikkoprobOnota
অপরিহার্যতা	oporiharjota	apariharyata	opori-harjo-ta	apariharyata	oporiharjota
অপর্যাপ্তসংখ্যক	oporjaptoshongkhok	aparyaptasankhyaka	oporjapto-shongkhok	aparyaptasankhyaka	oporjaptoshongkhok
অপ্রকাশ্যতা	oprokashshota	aprakashyata	oprokashsho-ta	aprakashyata	oprokashshota
অপ্রত্যাশিত	oprottyashito	apratyashita	oprottyashito	apratyashita	oprottyashito
অপ্রতিদ্বন্দ্বী	oprotidwondi	apratidwandi	oproti-dwondi	apratidwandi	oprotidwondi
অপ্রতুলতা	oprotulota	apratulata	oprotulo-ta	apratulata	oprotulota
অপ্রয়োজনীয়	oproyojoniyo	aprayojaniya	oproyojoniyo	aprayojaniya	oproyojoniyo
অপ্রাসঙ্গিকতা	oprobashonggikota	aprasanggikata	oproshonggiko-ta	aprasanggikata	oprobashonggikota
অপ্রিয়সত্য	opriyoshotto	apriyasatya	opriyo-shotto	apriyasatya	opriyoshotto
অবকাঠামোগত	obokathomogoto	abakathamogata	obokathamo-goto	abakathamogata	obokathomogoto
